Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
AnalistaDeDatos,"Documentador en Obra LA PAZ, BCS - Pasantes Arquitectura",Grupo Siayec,Baja California Sur,hace 3 días,"Tramitar permisos y libranzas, mantiendo la documentación actualizada.
Comunicar la actualización de los planos y generar la documentación necesaria derivada de…
hace 3 días·más...","$10,000 al mes",3.7
AnalistaDeDatos,Arquitecto De Soluciones,Edenred,Ciudad de México,hace 30+ días,"Uso de metodologías de desarrollo ágiles SCRUM.
NET, .NET Core, Desarrollo Web, Angular, JQuery, JavaScript, MVC, Microservicios, Web API, procesos Batch, SQL…
hace 30+ días·más...","$54,000 al mes",3.5
AnalistaDeDatos,SysAdmin Administrador de servicios e infraestructura de TI...,MYJOBPRO.COM DE MEXICO,"Puebla, Pue.",hace 11 días,"3 años en posiciones similares administrando sistemas en servidores físicos y/o virtuales (Comprobable, se cotejará).
Prioridad a ser organizado y metódico.
hace 11 días·más...","$15,000 - $20,000 al mes",4.4
AnalistaDeDatos,Arquitecto de proyecto IT,Manpower Mexico,Ciudad de México,hace 26 días,"Licenciatura en informática o carreras afines titulado.
Conocimiento SQL y otras bases de datos.
Conocimientos generales necesarios de hardware para proponer…
hace 26 días·más...","$75,000 al mes",
AnalistaDeDatos,ARQUITECTO JAVA,DESYSNET Consultores TI,+1 ubicaciónRemoto,hace 30+ días,"Metodología de componentes y su interacción.
Estándares y normas para aplicar a la construcción de Software.
Conocimiento de comunicación entre aplicaciones SOA…
hace 30+ días·más...","$60,000 - $70,000 al año",4
AnalistaDeDatos,Arquitecto Líder de proyectos lT Bilingüe,Manpower Mexico,Ciudad de México,hace 30+ días,"Inglés Avanzado fluido (se realiza entrevista en inglés).
Haya trabajado últimamente con Ambiente Azure.
Conocimiento SQL y otras bases de datos.
hace 30+ días·más...","$70,000 - $75,000 al mes",
AnalistaDeDatos,Arquitecto de proyectos,Manpower Mexico,Ciudad de México,hace 30+ días,"Licenciatura en informática o carreras afines titulado.
Conocimiento SQL y otras bases de datos.
Conocimientos generales necesarios de hardware para proponer…
hace 30+ días·más...","$74,000 - $75,000 al mes",3.9
AnalistaDeDatos,Arquitecto Dibujante (Proyectista),TETEL,"San Pedro Garza García, N. L.",hace 15 días,"Conocimiento y manejo en Revit.
hace 15 días·más...","$18,000 - $20,000 al mes",4
AnalistaDeDatos,ARQUITECTO DE SOLUCIONES TI,Phinder,"Coyoacán, CDMX",hace 10 días,"Conocimiento en patrones de seguridad y estándares de desarrollo.
Diseño de datos, diseño de integraciones y diseño de aplicaciones.
hace 10 días·más...","$50,000 - $60,000 al mes",
AnalistaDeDatos,Arquitecto Senior de TI,Grupo DECO Nacional,"San Pedro Garza García, N. L.",hace 14 días,"Carrera profesional Ingeniería en Sistemas Computacionales o carrera afín.
Gestión de capacidad y demanda de negocio (deseable mas no requerida).
hace 14 días·más...","$50,000 al mes",2.5
AnalistaDeDatos,"Te?cnico/as,Ingeniero/as,Arquitecto/as-Truncos,Pasantes,Egre...",Telecom & Energy Solutions,"Querétaro, Qro.",hace 5 días,"Si tienes bachillerato terminado o carrera trunca, tenemos oportunidad para ti.
Ingenieri?as y TSU.
No se requiere experiencia (te capacitamos en el a?rea de…
hace 5 días·más...","$5,000 - $6,000 al mes",4.1
