Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador Jr.,DESARROLLADOR JR (GESTOR DE LA APLICACIONES EN LA NUBE),Velatia Careers,Ciudad de México,hace 21 días,"Ikusi, empresa de Velatia, es una empresa tecnológica, especializada en el ámbito de la digitalización y ciberseguridad.","$23,213 al mes",3.7
Desarrollador Jr.,100% Home Office,Cuvitek Software,Remoto,hace 30+ días,"Mínimo 3 años en el mismo puesto en proyectos basados en tecnología JAVA 8 (versión deseada pero inferiores son aceptables).
Control de versiones (SVN / GIT).","$20,000 - $25,000 al mes",4.4
Desarrollador Jr.,Especialista Jr Arquitectura de Datos,GNP,"Coyoacán, CDMX",hace 30+ días,Verificar y contribuir al cumplimiento de los lineamientos que se establezcan para la alimentación y consumo de la información del Data Lake y asegurar que…,"$20,000 - $25,000 al mes",4.5
Desarrollador Jr.,Desarrollador .Net Jr.,Human Capital Resources,"Colonia Lomas de Chapultepec, CDMX",hace 22 días,"10 días de Aguinaldo y 30 días Aguinaldo.
SQL Server (manejo de sps, funciones, optimizaciones, etc.).
SQL (Jobs, triggers y principios de tunning).","$15,000 - $18,000 al mes",3.7
Desarrollador Jr.,Desarrollador PHP Sr,Manpower Mexico,Ciudad de México,hace 30+ días,"Experis IT es una empresa de tecnologías de la información que vincula eficazmente el talento más competitivo con las grandes compañías en México,…","$40,000 - $50,000 al mes",3.9
Desarrollador Jr.,Asistente de Ventas Jr. Bilingüe - empresa global desarrolla...,Page Personnel México,Ciudad de México,hace 15 días,"Brindar atención y seguimiento a clientes.
Licenciatura en administración o carrera afín, cursando los últimos años de Licenciatura o recién [email protected]…","$16,000 - $18,000 al mes",3.6
Desarrollador Jr.,Desarrollador java Jr bilingue,Manpower Mexico,"Benito Juárez, CDMX",hace 30+ días,Empresa de ciberseguridad se encuentra en búsqueda de Desarrollador JR : ?C?ontratación 100% nómina. Requisitos: Escolaridad ing. en sistemas a fin…,"$25,000 - $30,000 al mes",3.6
Desarrollador Jr.,Desarrollador Jr .Net //100% Home Office,TOTALTECHMX,"Querétaro, Qro.•Remoto",hace 30+ días,"DESARROLLADOR DE SOFTWARE JR .NET*.
NET con C#, JavaScript y SQL._*.
DESEABLE Experiencia en framework Angular.
\* Participación en junta diaria de equipo.","$15,000 - $20,000 al mes",3.8
Desarrollador Jr.,DESARROLLADOR JR,MICRONICS Software Solutions,"Monterrey, N. L.•Remoto temporalmente",hace 15 días,"Desarrollo de aplicaciones usando mu?ltiples tecnologi?as para diferentes clientes y proyectos.
Desarrollo desde componentes aislados hasta proyectos completos.","$15,000 - $20,000 al mes",3.9
Desarrollador Jr.,Desarrollador Jr / React / JavaScipt,akubica,"Aguascalientes, Ags.",hace 7 días,Interesados postularse por este medio.,"$10,000 - $15,000 al mes",3.9
Desarrollador Jr.,Desarrollador Jr Web .Net,SS,"Veracruz, Ver.•Remoto",hace 30+ días,"* Dominio ASPNET (C#) * SQL Server * Programación Orientado a Objetos * jQuery, Bootstrap * Python deseable Fecha de inicio prevista: 1/8/2021 Tipo de puesto…","$7,000 - $10,000 al mes",4.1
Desarrollador Jr.,Desarrollador Practicante Jr,Macronnect S.A. de C.V.,"Los Mochis, Sin.",hace 30+ días,"Experiencia comprobable de gusto por el desarrollo (se toman en cuenta proyectos escolares, personales, profesionales, etc.).",$600 - $800 por semana,2.5
Desarrollador Jr.,DESARROLLADOR Y PROGRAMADOR JR,SAGZ Corporate Consulting,"Querétaro, Qro.",hace 8 días,"EMPRESA LÍDER EN TECNOLOGÍA* en busca de talento en el área de *Sistemas y Tecnologías de la Información.*.
Recién egresado o 1 año de experiencia en el área de…","$17,000 - $19,000 al mes",3.8
Desarrollador Jr.,Desarrollador Jr,ENI NETWORKS,"Querétaro, Qro.•Remoto temporalmente",hace 30+ días,Elaborar documentación descriptiva sobre las reglas codificadas para que las condiciones sean entendibles para el usuario.,"$9,000 al mes",3.9
Desarrollador Jr.,Desarrollador Jr,BLEN,"Guadalajara, Jal.•Remoto",hace 30+ días,"NET Core, C#, HTML5, JavaScript, JQuery, CSS, Bootstrap, Web Api, SQL Oracle o cualquier otro motor, conocimientos de programación orientada a objetos POO.","$16,000 - $17,500 al mes",3.8
Desarrollador Jr.,Desarrollador Web Jr,Roca Acero,"Escobedo, N. L.",hace 30 días,"Roca Acero por expansión solicita: Desarrollador web Jr Requisitos: Carrera técnica terminada. Manejo de C, C# Gusto por el desarrollo web Trabajo en equipo…","$17,000 al mes",3.8
Desarrollador Jr.,DESARROLLADOR JR (GESTOR DE LA APLICACIONES EN LA NUBE),Velatia Careers,Ciudad de México,hace 21 días,"Ikusi, empresa de Velatia, es una empresa tecnológica, especializada en el ámbito de la digitalización y ciberseguridad.","$23,213 al mes",3.8
