Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador Moviles,Desarrollador Full Stack Sr para aplicaciones móviles,MYJOBPRO.COM DE MEXICO,"Puebla, Pue.",hace 6 días,"Experiencia amplia en desarrollo y mantenimiento de aplicaciones móviles.
Buen manejo de Javascript para desarrollo de apps móviles.","$15,000 - $20,000 al mes",3.6
Desarrollador Moviles,Desarrollador Genexus,Ulfix,"Miguel Hidalgo, CDMX",hace 30+ días,"Conocimiento práctico del panorama móvil general, arquitecturas, tendencias y tecnologías emergentes.
Colaboración con equipos multifuncionales para definir,…","$40,000 - $45,000 al mes",3.6
Desarrollador Moviles,DESARROLLADOR ANDROID,Experience IT,"Tlalpan, CDMX",hace 2 días,Horario de lunes a viernes de 9:00 am a 6:00 pm.,"$25,000 - $30,000 al mes",3.6
Desarrollador Moviles,Desarrollador React Native,Ulfix,Remoto,hace 30+ días,Estamos buscando un desarrollador de React Native interesado en crear aplicaciones móviles de alto rendimiento para las plataformas iOS y Android.,"$35,000 - $40,000 al mes",2.5
Desarrollador Moviles,Desarrolladora Semi SR,Grupo Orsa,"Miguel Hidalgo, CDMX",hace 9 días,"I ngeniería, Licenciatura , en Computación, Informática o área afín, titulado o pasante o con experiencia de al menos 3 años.","$25,000 - $30,000 al mes",4.3
Desarrollador Moviles,Desarrollador Móvil - Servicios Financieros,Page Personnel México,Ciudad de México,hace 30+ días,"Programar en equipo con otros desarrolladores, utilizando estándares, controladores de versiones y prácticas de integración continua.","$35,000 al mes",4.3
Desarrollador Moviles,Arquitecto de Software / Líder Técnico,M22,Remoto,hace 15 días,"Brindar ayuda técnica continua y proactiva a los desarrolladores del equipo, con el fin de garantizar el éxito de cada uno en los proyectos.","$25,000 - $30,000 al mes",3.6
Desarrollador Moviles,iOS Developer,Page Personnel México,Ciudad de México,hace 30+ días,"Diseño y desarrollo de software móvil para iOS (nativo).
Realización de pruebas y depuración de problemas de campo con software móvil.","$47,000 al mes",3.6
Desarrollador Moviles,Tester Automation,AZKA IT CONSULTING SA DE CV,"Benito Juárez, CDMX",hace 30+ días,"Experiencia probando aplicaciones escritas en Java, C #, .
Experiencia práctica en automatización con Selenium C # o Java.",,3.8
Desarrollador Moviles,Senior eCommerce Developer,Page Personnel México,Ciudad de México,hace 30+ días,"Design and Develop website features.
Possess a strong understanding of MVC development framework.
O Design and Develop Carter's website features and functions…",,3.8
Desarrollador Moviles,Ingeniero de Software,Page Personnel México,Ciudad de México,hace 30+ días,"Realiza cualquier tipo de diseño funcional y técnico.
NET Core 2.0+ y/o Angular 7+.
Conocimientos intermedios en diseño y gestión de bases de datos relacionales…","$40,000 - $50,000 al mes",4.4
Desarrollador Moviles,Promotor preventa - lunes a viernes / SB 8000 mas comisiones,Manpower Mexico,"Zapopan, Jal.",hace 30+ días,"Disponibilidad de movimiento por GDL ( centro, norte y sur).
Excelente ambiente laboral (dinámico y tecnológico).
Bono $880 (plan de datos y apoyo transporte).","$8,000 - $13,000 al mes",4.4
Desarrollador Moviles,Desarrollador Mobile Bilingüe,GPROJECTION,"Colonia Polanco, CDMX",hace 30+ días,"Desarrollo de aplicaciones móviles para Android y iOS.
Conocimientos en desarrollo de aplicaciones móviles para Android y iOS nativo.",,3.9
Desarrollador Moviles,Desarrollador Aplicaciones Móviles (IONIC),"Ingeniat, SA de CV","Monterrey, N. L.",hace 20 días,"Buscamos desarrolladores en Angular y Ionic para el desarrollo de aplicaciones multiplataforma.
Analizar, desarrollar y dar mantenimiento a aplicativos móviles…","$20,000 - $25,000 al mes",3.2
Desarrollador Moviles,Desarrollador Mobile Junior,Eos Software S.A. de C.V.,"Colonia Lomas de Chapultepec, CDMX•Remoto",hace 2 días,"Experiencia en framework React Native para desarrollar una Aplicación Móvil para iOS y Android.
SI ESTAS INTERESADO EN LA VACANTE POSTULATE Y EN BREVE NOS…",,4.4
Desarrollador Moviles,Desarrollador Web,Corporativo automotriz,"Torreón, Coah.•Remoto temporalmente",hace 1 día,"Desarrollo de aplicaciones Web y móviles.
Edad: 25 a 30 años.
Net MVC, MySQL, Entity Framework 6, jQuerry, Ajax, CSS y MSSQL.","$12,000 - $15,000 al mes",4.4
Desarrollador Moviles,DESARROLLADOR DE APLICACIONES MÓVILES,DTI CONSULTORES,"Papalotla, Tlax.",hace 30+ días,"Realizar el diseño de aplicaciones móviles.
Programación y desarrollo de aplicaciones.
Procesos y lineamientos para subir apps a AppStore y PlayStore.",,3.9
Desarrollador Moviles,Desarrollador Full Stack Sr para aplicaciones móviles,MYJOBPRO.COM DE MEXICO,"Puebla, Pue.",hace 6 días,"Experiencia amplia en desarrollo y mantenimiento de aplicaciones móviles.
Buen manejo de Javascript para desarrollo de apps móviles.","$15,000 - $20,000 al mes",3.6
Desarrollador Moviles,Desarrollador FrontEnd Angular,Tecnológico de Monterrey,Remoto,hace 30+ días,"Si tienes formación en Ingeniero en Sistemas Computacionales o afín , has tenido la experiencia de trabajar con programación en interfaces (frontend) y entre…",,2.5
Desarrollador Moviles,Desarrollador Genexus,Ulfix,"Miguel Hidalgo, CDMX",hace 30+ días,"Conocimiento práctico del panorama móvil general, arquitecturas, tendencias y tecnologías emergentes.
Colaboración con equipos multifuncionales para definir,…","$40,000 - $45,000 al mes",4.3
Desarrollador Moviles,DESARROLLADOR ANDROID,Experience IT,"Tlalpan, CDMX",hace 2 días,Horario de lunes a viernes de 9:00 am a 6:00 pm.,"$25,000 - $30,000 al mes",4.3
Desarrollador Moviles,Desarrollador full stack,Gonet,"Mérida, Yuc.",hace 19 días,"Experiencia en desarrollo de software y codificación en varios lenguajes (ReactJS, Vue JS, ExpressJS, Angular, NodeJS, Python, PHP, React, Deseable Node,…",,3.6
Desarrollador Moviles,Estratega de Contenidos,Mentor e-learning,"Monterrey, N. L.",hace 30+ días,"Experiencia en el desarrollo de contenido interactivo y manejo de estrategias de contenido on-line para sitios web, aplicaciones móviles y tabletas así como en…",,3.6
Desarrollador Moviles,DESARROLLADOR DE APLICACIONES MOVILES,SOLUCIONES VITALENTO,"Benito Juárez, CDMX•Remoto",hace 13 días,"Experiencia demostrada en desarrollo de aplicaciones móviles usando: Javascript, Java, REACT NATIVE, REACT JS, programación de sistemas complejos y completos,…","$35,000 - $50,000 al mes",3.8
Desarrollador Moviles,DESARROLLADOR MOVIL SR ANDROID,NK Consultoría,"Querétaro, Qro.•Remoto",Recién publicado,"Conocimiento de principios de UX/UI para aplicaciones móviles.
Diseño, desarrollo, testing, despliegue y mantenimiento de software para aplicaciones móviles …","$40,000 - $50,000 al mes",4.3
Desarrollador Moviles,Practicantes en desarrollador front-end,Business in Motion,"Querétaro, Qro.",hace 16 días,OPORTUNIDAD PARA *ESTUDIANTES *QUE BUSCAN EMPRESA PARA REALIZAR SUS *PRÁCTICAS PROFESIONALES O SERVICIO SOCIAL. *.,,4.3
Desarrollador Moviles,Desarrollador Front End - Angular,Phinder,"Coyoacán, CDMX",Hoy,"Desarrollo de Aplicaciones Móviles Híbridas.
Conocimientos en HTML5, CSS, Bootstrap.
Seguro de Gastos Médicos Mayores.","$30,000 - $35,000 al mes",3.6
Desarrollador Moviles,Desarrollador Web,Compañía en Tecnología de la Información,"Saltillo, Coah.",hace 3 días,"NET para desarrollo de Aplicaciones Web y Móviles entre otras.
- *Visual Studio 2019 - Dominio Avanzado.","$16,000 - $19,000 al mes",3.6
Desarrollador Moviles,PROGRAMADOR DE APLICACIONES MOVILES,Muebles América,"Guadalajara, Jal.",hace 13 días,"Escolaridad: Ingeniería sistemas , Licenciatura en Informática, o carrera afín.
CONOCIMIENTOS NECESARIOS CON EXPERIENCIA MÍNIMA DE UN AÑO: *.","$17,000 - $17,300 al mes",3.8
Desarrollador Moviles,Desarrollador WEB y de Aplicaciones Móviles,MARSTOM,"Guadalajara, Jal.•Remoto",hace 14 días,"Conocimiento de Bases de datos No relacionales (MongoDB, Cassandra).","$8,000 - $12,000 al mes",4.3
Desarrollador Moviles,Desarrollador de soluciones digitales,Industria Sigrama,"Torreón, Coah.",hace 6 días,\*Compresión del funcionamiento de los sistemas operativos.,"$24,000 al mes",4.3
Desarrollador Moviles,Desarrollador de aplicaciones Android y IOS,Cariño mio digital,"Benito Juárez, CDMX•Remoto",hace 1 día,"Si cumples los requisitos, postúlate y nos comunicaremos contigo muy pronto.
+2 años de experiencia Desarrollo de Aplicaciones Móviles comprobable.","$17,000 - $20,000 al mes",3.6
Desarrollador Moviles,Desarrollador de Sistemas,TRANSPORTADORA DE LIQUIDOS AZTECA,"Zapopan, Jal.",hace 14 días,"Programador, desarrollo de aplicaciones web y móviles, soporte a usuarios, MS SQL, Servicios web, API REST, ERP (deseable), POWER BI (deseable) SCRUM.","$22,000 al mes",3.6
Desarrollador Moviles,Desarrollador de aplicaciones moviles (React Native),Eos Software The Fintech Co,"Miguel Hidalgo, CDMX•Remoto temporalmente",hace 23 días,"Experiencia en framework React Native para desarrollar una Aplicación Móvil para iOS y Android.
Ciudad De México ( se ofrece trabajo remoto 80% casa 20% oficina…",,3.8
