Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
ProgramadorPHP,Programador Php,3D ADVERTISING,Ciudad de México,hace 30+ días,Si eres un desarrollador Php y quieres tener la oportunidad de capacitarte totalmente gratis en Magento ¡esta es tu oportunidad de formar parte de la…,"$9,000 - $12,000 al mes",3.6
ProgramadorPHP,Programador Web / Full Stack,M22,Remoto,hace 21 días,"Programación full stack con frameworks de desarrollo (ej: symfony).
Análisis y diseño de bases de datos.
Participación en proyectos con metodología ágil SCRUM,…","$15,000 - $20,000 al mes",3.6
ProgramadorPHP,Programador BackEnd Sr,3 Hunters,Ciudad de México,hace 22 días,"Conocimientos de diseño, desarrollo y mantenimiento de software;
Conocimiento y gestión de repositorios de código fuente (SVN, Git);","$40,000 al mes",3.6
ProgramadorPHP,Desarrolladora Semi SR,Grupo Orsa,"Miguel Hidalgo, CDMX",hace 15 días,".Net en c#, SQL server, versionador del código, programador servicios web,facturacion XML, ,Net 2012, visual studio, UX.","$25,000 - $30,000 al mes",
ProgramadorPHP,Desarrollador PHP Sr,Manpower Mexico,Ciudad de México,hace 18 días,"Experis IT es una empresa de tecnologías de la información que vincula eficazmente el talento más competitivo con las grandes compañías en México,…","$45,000 - $50,000 al mes",5
ProgramadorPHP,Fullstack,Disruptive Studio,Remoto,hace 30+ días,"Los desarrolladores Fullstack son programadores informa?ticos que utilizan una serie de tecnologi?as y lenguajes diferentes (como React JS, Javascript…","$30,000 - $35,000 al mes",3.5
ProgramadorPHP,ANALISTA PROGRAMADOR,Grupo Austromex,"Iztapalapa, CDMX",hace 30+ días,"O Edad de 22 a 30 años.
O Disposición para trabajar tiempo completo de forma presencial.
O Analizar, diseñar y programar los sistemas de información para…","$25,000 - $30,000 al mes",3.5
ProgramadorPHP,PHP-Unit,Manpower Mexico,"Querétaro, Qro.",hace 30+ días,"// Cursos de CI/CD // Prestaciones de ley // Plan de Pension // 8 días de vacaciones inicialmente // Comedor gratuito-DEsayuno, comida y snacks CSM Jr.","$60,000 - $80,000 al mes",3.8
ProgramadorPHP,Programador Full Stack Sr.,INOVA Mexico,"Benito Juárez, CDMX",hace 7 días,"Licenciatura en Informática / Ing. en Sistemas o Afín (Pasante o titulado).
5 años de experiencia como Desarrollador Full STACK.","$45,000 - $50,000 al mes",3.8
ProgramadorPHP,PROGRAMADOR PHP,TSASTUN TI,"Miguel Hidalgo, CDMX•Remoto",hace 30 días,"En sistemas, licenciatura en informática o afín.
Experiencia mínima de 6 meses como desarrollador WEB.
Conocimiento en Programación Orientada a Objetos.","$10,000 - $15,000 al mes",3.9
ProgramadorPHP,Programador PHP+JavaScript+jQuery+MySQL,CAOMI Sistemas Informáticos,"Ecatepec, Méx.•Remoto",hace 18 días,"Conocimientos sólidos de JavaScript y jQuery.
Creación de bases de datos y conocimientos para formular consultas a la base de datos.","$7,000 - $14,000 al mes",3.9
ProgramadorPHP,Programador PHP,GRUPO HS,"Benito Juárez, CDMX•Remoto",hace 30+ días,"Lic. ó Ing. en Sistemas computacionales o afín.
INDISPENSABLE VIVIR EN CDMX O GESTIONAR EL CAMBIO DE RESIDENCIA *.
8 días de vacaciones desde el primer año.","$30,000 al mes",3.9
ProgramadorPHP,Programador PHP,"Ingeniat, SA de CV","Monterrey, N. L.•Remoto temporalmente",hace 30+ días,"Buscamos Desarrollador PHP para el rediseño y mejorar nuestras Web Apps.
Enfocado a objetivos y responsable.
DESEABLES: * Apache | Git | Amazon Web Services AWS…","$20,000 - $25,000 al mes",
ProgramadorPHP,Programador PHP,Techgenies México,"Benito Juárez, CDMX•Remoto",hace 26 días,Busca desarrollador PHP para trabajar en una empresa de giro bancario para un proyecto de 6 meses con posibilidad a convertirse en permanente.,"$40,000 - $45,000 al mes",
ProgramadorPHP,Programador PHP Backend,Strong Talent S. A. de C.V.,"Miguel Hidalgo, CDMX",hace 13 días,"Haber trabajado con desarrollo ""Backend"" previamente.
Tener experiencia en programación en PHP indispensable.","$20,000 - $25,000 al mes",
ProgramadorPHP,Programador Jr,Multimedios,"Monterrey, N. L.•Remoto temporalmente",hace 29 días,"Experiencia Mínima de 1 año en actividades relacionadas (Cuenta practicas profesionales).
*Conocimientos: Javascript, PHP, JQuery, React SQL, CSS, HTML5,…","$10,000 - $12,000 al mes",3.5
ProgramadorPHP,"Programador web - sepa de Php, Html, Css, JavaScript, Sql, M...",Mayoreo Electronico Peninsular,"Mérida, Yuc.",hace 5 días,"Conocimiento avanzado de PHP, HTML, CSS, JAVASCRIPT.
Conocimiento de SQL Server y MySQL.
Desarrollo y mantenimiento de Frond-End y Back-End de las páginas web…","$9,000 al mes",3.5
ProgramadorPHP,Programador Jr,QUADIT,"Orizaba, Ver.",hace 15 días,"El principal trabajo es desarrollo web, tendrás curso y capacitación sobre los sistemas que deseamos implementar y necesitamos que tengas conocimiento en base…","$6,000 - $7,000 al mes",
ProgramadorPHP,Programador Web,JARBOSS SA DE CV,"San Luis Potosí, S. L. P.",hace 7 días,"Experiencia práctica con lenguajes de programación NODEJS, C# y PHP.
Familiarizado con lenguajes < > (HTML, JavaScript y CSS).","$8,000 - $16,000 al mes",3.8
ProgramadorPHP,Programador PHP,Escuadra Technology,"Benito Juárez, CDMX",hace 28 días,"En Sistemas, Informática, o carreras técnicas afines, UNETE a nuestro equipo de trabajo como *PROGRAMADOR*.
REQUISITOS: *Conocimientos PHP, JAVA, MySQL, HTML.","$6,500 - $7,000 al mes",3.8
ProgramadorPHP,Programador Web,Grupo Colorines,"Mérida, Yuc.",Hoy,"\* Pasante de Programador/ lic en informática (puede ser recién egresado)*.
Lunes a viernes 9 a 6 pm (presencial en oficinas zona norte)*.","$6,000 al mes",
ProgramadorPHP,Programador JR de Backend,Comercializadora Epya,"Colonia Santa Fe, CDMX",hace 20 días,Todos deben usar mascarillas y caretas protectoras.,"$8,000 - $12,000 al mes",3.9
ProgramadorPHP,Programador / Desarrollador Shopify,QUIUBOLEE,"Torreón, Coah.•Remoto temporalmente",hace 4 días,En Quiubolee! estamos creciendo! Estamos a la búsqueda de nuestro próximo: Programador Shopify/ PHP ¿que buscamos? -Experiencia de 1-3 años en Shopify …,"$8,000 - $18,000 al mes",3.9
ProgramadorPHP,Programador,Madigen,"Nezahualcóyotl, Méx.•Remoto temporalmente",hace 21 días,"Programador/a PHP Modelo Vista Controlador Con experiencia en Bases de datos MySql Integración Back-end | Front-end básico Actividades: Programar Forms,…","$20,000 - $30,000 al mes",3.9
ProgramadorPHP,Programador Jr,e-texmart,"Cuauhtémoc, CDMX",Recién publicado,"Conocimiento en Wordpress, PHP, MySQL, CSS, JavaScript, Boostrop.
Experiencia de 6 meses en actividades similares (Diseño y Programación de Páginas Web).","$9,000 - $10,000 al mes",
ProgramadorPHP,Programador Junior,Consultoría S2 Human Talent,"Colonia del Valle, CDMX",hace 5 días,"Documentación orientada a objetos (UML o algún otro protocolo), Conocimientos de diseño Web en HTML, PHP y Bases de Datos (Maria DB, MySQL), Conocimientos en…","$11,000 - $12,000 al mes",
ProgramadorPHP,Programador Web,4S Real Estate,"Monterrey, N. L.•Remoto temporalmente",hace 8 días,"Desarrollar sitios web basados en las propuestas gráficas realizadas por los diseñadores.
Llevar un control de todos los parámetros clave.","$15,000 - $17,000 al mes",
ProgramadorPHP,"Programador Senior PHP, NodeJS, Python, Mysql",GATEGUARD SA DE CV,"Monterrey, N. L.",hace 30+ días,"Se valorara conocimiento en AWS, VPN, Docker, Kubernetes, Redes y comunicaciones, Ionic o Flutter.","$25,000 al mes",3.1
ProgramadorPHP,PROGRAMADOR,SURTIDORA DE FERRETERIA Y MATERIALES S.A DE C.V....,"Colima, Col.",hace 30+ días,"Brindar atención a los usuarios en cuestión de Software y Hardware.
Soporte en funciones de SAP.
Apoyo básico en uso y mantenimiento de redes LAN y WIFI.","$8,000 - $12,000 al mes",3.6
ProgramadorPHP,Programador backend,CLIK GRAPHICS,"Ciudad Juárez, Chih.",Hoy,"Proactivo, responsable y disposición para aprender.
Serías un buen match si...
Tienes experiencia en CSS y Html.
API Rest: 1 año (Deseable).","$10,000 al mes",3.5
ProgramadorPHP,Programador,Lion Systems Solutions,"Aguascalientes, Ags.•Remoto temporalmente",hace 5 días,"Estudios en Ing. en Computación Inteligente, Ing. en Sistemas Computacionales, Lic.
GIT (Commit, Merge, Pull, Push , Clone, Rebase, Check out).","$15,000 al mes",3.5
ProgramadorPHP,Programador PHP Jr.,Dharma Consulting,"Naucalpan, Méx.",hace 13 días,"Ingeniero en sistemas, cibernética, informática o afín.
Recién egresados titulados o en proceso de titulación comprobable.*.","$12,000 - $15,000 al mes",
ProgramadorPHP,PROGRAMADOR WEB,CORPORATIVO EMPRESARIAL SA DE CV,"Monterrey, N. L.",hace 28 días,"Escolaridad*: Ingeniería en sistemas o a fin (Mínimo Pasante).
Experiencia*: necesaria de 2 años en Programación web, desarrollo de Software o Desarrollador de…","$20,000 al mes",3.8
ProgramadorPHP,Recién egresado sistemas computacionales,Excelencia Consultores en Recursos Humanos,"Coyoacán, CDMX",hace 25 días,"Buscamos recién egresado en carrera de Sistemas Computacionales, Informática o a fin.
Experiencia de 6 a 12 meses en *PHP y Phyton*, desarrollando proyecto…","$10,000 - $12,000 al mes",3.8
ProgramadorPHP,Programador Laravel,Nuvem Tecnología Viva,"Guadalajara, Jal.",hace 13 días,"API REST (Creación y consumo).
Procesadores de CSS como Sass, Less y Stylus.",hace 13 días,
ProgramadorPHP,Programador Php,3D ADVERTISING,Ciudad de México,hace 30+ días,Si eres un desarrollador Php y quieres tener la oportunidad de capacitarte totalmente gratis en Magento ¡esta es tu oportunidad de formar parte de la…,"$9,000 - $12,000 al mes",3.9
ProgramadorPHP,Programador Web / Full Stack,M22,Remoto,hace 21 días,"Programación full stack con frameworks de desarrollo (ej: symfony).
Análisis y diseño de bases de datos.
Participación en proyectos con metodología ágil SCRUM,…","$15,000 - $20,000 al mes",3.9
ProgramadorPHP,Programador BackEnd Sr,3 Hunters,Ciudad de México,hace 22 días,"Conocimientos de diseño, desarrollo y mantenimiento de software;
Conocimiento y gestión de repositorios de código fuente (SVN, Git);","$40,000 al mes",3.9
ProgramadorPHP,Desarrolladora Semi SR,Grupo Orsa,"Miguel Hidalgo, CDMX",hace 15 días,".Net en c#, SQL server, versionador del código, programador servicios web,facturacion XML, ,Net 2012, visual studio, UX.","$25,000 - $30,000 al mes",
ProgramadorPHP,Desarrollador PHP Sr,Manpower Mexico,Ciudad de México,hace 18 días,"Experis IT es una empresa de tecnologías de la información que vincula eficazmente el talento más competitivo con las grandes compañías en México,…","$45,000 - $50,000 al mes",
ProgramadorPHP,Fullstack,Disruptive Studio,Remoto,hace 30+ días,"Los desarrolladores Fullstack son programadores informa?ticos que utilizan una serie de tecnologi?as y lenguajes diferentes (como React JS, Javascript…","$30,000 - $35,000 al mes",
ProgramadorPHP,ANALISTA PROGRAMADOR,Grupo Austromex,"Iztapalapa, CDMX",hace 30+ días,"O Edad de 22 a 30 años.
O Disposición para trabajar tiempo completo de forma presencial.
O Analizar, diseñar y programar los sistemas de información para…","$25,000 - $30,000 al mes",
ProgramadorPHP,PHP-Unit,Manpower Mexico,"Querétaro, Qro.",hace 30+ días,"// Cursos de CI/CD // Prestaciones de ley // Plan de Pension // 8 días de vacaciones inicialmente // Comedor gratuito-DEsayuno, comida y snacks CSM Jr.","$60,000 - $80,000 al mes",3.5
ProgramadorPHP,Programador Full Stack Sr.,INOVA Mexico,"Benito Juárez, CDMX",hace 7 días,"Licenciatura en Informática / Ing. en Sistemas o Afín (Pasante o titulado).
5 años de experiencia como Desarrollador Full STACK.","$45,000 - $50,000 al mes",3.8
ProgramadorPHP,Programador Web,SURTIDORA DE FERRETERIA Y MATERIALES S.A DE C.V....,"Colima, Col.",hace 17 días,"Manejo y administración de página web.
Mantener en óptimas condiciones la integridad de datos y sistemas de información de la empresa.","$8,000 - $12,000 al mes",3.8
