Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Front End,Front End Developer Jr,Atos,"Monterrey, N. L.",hace 22 días,"Strong understanding on HTML/CSS/Vanilla JavaScript (ES6).
Experience on modern Javascript frameworks/libraries, such as React, Vue.js or Angular.",,4
Front End,Front End Specialist,Santander,"Álvaro Obregón, CDMX",hace 28 días,"Identificar riesgos y errores - Participar de manera colaborativa en diseños tecnicos y de arquitectura - Dominio del framework front - Preparar despliegues,…",,4
Front End,Front End Specialist,Santander Global External,"Álvaro Obregón, CDMX",hace 27 días,"Identificar riesgos y errores - Participar de manera colaborativa en diseños tecnicos y de arquitectura - Dominio del framework front - Preparar despliegues,…",,3.8
Front End,100% Home Office,Cuvitek Software,Remoto,hace 30+ días,"Mínimo 3 años en el mismo puesto en proyectos basados en tecnología JAVA 8 (versión deseada pero inferiores son aceptables).
Control de versiones (SVN / GIT).","$20,000 - $25,000 al mes",4
Front End,Front End Developer Jr,Cognizant Technology Solutions,"Guadalajara, Jal.",hace 30+ días,"2+ years of experience with JavaScript, HTML, CSS and Angular 6+ (other versions can be considered).
Hands-on knowledge of version control systems such as Git.",,3.7
Front End,Desarollador .Net Jr. (Home Office),WTS Energy,Remoto,hace 30+ días,Importante empresa nacional enfocada a la transformación digital está en búsqueda de un Junior .net Developer principalmente responsable para el soporte y…,,4
Front End,Desarrollador Frontend JR presencial en Matamoros,ISITA,"Matamoros, Tamps.",hace 30+ días,"Licenciatura o Ingeniería en Sistemas Computacionales, Informática, o afín.
Inglés Avanzado, con visa y pasaporte vigente.",,3.9
Front End,Senior UI Engineer,Salesloft,"Guadalajara, Jal.",hace 30+ días,"Expertise in front end technologies as well as frameworks and tooling.
A high level of craftsmanship about their work, the end experience of the user, and…",,3.5
Front End,Desarrollador PHP,Getecsa,Remoto,hace 30+ días,"2+ years with front-end technologies such as JavaScript, HTML, and CSS3.
Design, estimate, and code new features.
Participate in software design discussions.",,3.9
Front End,Sr. UX Developer,UST Global,"Guadalajara, Jal.",hace 30+ días,"As a Sr. UI/UX Developer, this is your opportunity to.
Collaborate with the business areas, design and development teams to generate wireframes and prototypes…",,4
Front End,Jr. PHP Developer,Getecsa,"Monterrey, N. L.",hace 30+ días,"2+ years with front-end technologies such as JavaScript, HTML, and CSS3.
Design, estimate, and code new features.
Participate in software design discussions.",,4.1
Front End,DEVELOPER FULL STACK JAVA SCRIP SENIOR,Grupo Siayec,"Benito Juárez, CDMX",hace 30+ días,"SOLICITA DESARROLLADOR FULL STACK JAVA SCRIP SENIOR.
3 años de Experiencia en colaboración con equipos de desarrollo y coordinación de actividades de…","$25,000 - $30,000 al mes",3.9
Front End,Desarrollador Front End Jr,Eos The Fintech Co,"Colonia Lomas de Chapultepec, CDMX•Remoto temporalmente",hace 1 día,"Experiencia básica en Linux y Git.
Experiencia con restricciones de diseño, multiplataforma y de navegador cruzado en la web.",,4.3
Front End,DESARROLLADOR FRONT END JR,Muebles América,"Guadalajara, Jal.",hace 4 días,"Como Desarrollador Front End tú principal función será desarrollar e implementar mejoras sobre aplicaciones basadas en PWA (Progressive Web Apps), realizar…","$14,200 - $17,300 al mes",3.9
Front End,Desarrollador Jr Front End Angular - Con o Sin Experiencia,Üman,"Miguel Hidalgo, CDMX",hace 10 días,"\*\* HTML5, CSS3, SCSS, Javascript, Typescript.
\*\* Alguna experiencia integrado servicios de AWS, rutinas de deployment.","$12,000 - $15,000 al mes",3.9
Front End,FULL STACK DEVELOPER JR,LEFORT FINTECH LABS,"Guadalajara, Jal.•Remoto",hace 7 días,"Javascript con el uso de algún framework de front-end como react/vue/angular.
Colaborar con su lead developer para crear los módulos de software necesarios.","$19,300 al mes",3.5
Front End,Trainne Front End Jr,Eos Software The Fintech Co,"Colonia Lomas de Chapultepec, CDMX",hace 6 días,"Experiencia básica en Linux y Git.
Experiencia con restricciones de diseño, multiplataforma y de navegador cruzado en la web.",,4.1
Front End,DESARROLLADOR JR,MICRONICS Software Solutions,"Monterrey, N. L.•Remoto temporalmente",hace 21 días,"Desarrollo de aplicaciones usando mu?ltiples tecnologi?as para diferentes clientes y proyectos.
Desarrollo desde componentes aislados hasta proyectos completos.","$15,000 - $20,000 al mes",3.5
Front End,Desarrollador Jr,PUNTO PEN,"Cuauhtémoc, CDMX•Remoto",hace 27 días,"Escolaridad: *Sistemas Computacionales, Informática o afín (pasante o titulado).*.
Desarrollo de Bakc End Java 8, Hibernate, APIS, Web Service.","$16,000 - $20,000 al mes",3.7
Front End,Front End Developer JR,ALTUMWARE,"Monterrey, N. L.•Remoto",hace 22 días,"6 meses a 1 año en proyectos de Desarrollo.
Conocimiento de framework Spring y Spring Boot.
Prestaciones de ley y superiores, esquema 100% nominal.",,4
Front End,Jr. Developer Engineer,Oportun Inc,"León, Gto.",hace 17 días,"Experience in front-end coding such as CSS, HTML, Bootstrap.
Experience contributing front-end code to a publicly available, consumer-focused web application.",,4.2
Front End,REACT WEB DEVELOPER JR-MIDDLE,Grupo Guía Excelencia Inmobiliaria,"Guadalajara, Jal.",hace 22 días,Buscamos un programador web fullstack altamente capacitado que se sienta cómodo con la programación tanto de front-end como de back-end.,"$30,000 al mes",4.1
Front End,Full Stack Developer Jr,Finvero,"Morelos, Zac.+1 ubicación•Remoto temporalmente",hace 4 días,"Implementar y mantener aplicaciones Web Front-end y Back-End So?lidos.
Finvero te invita a formar parte de su equipo de trabajo como Full Stack Junior*.",,3.5
Front End,Desarrollador Jr,Reclutamiento Efectivo,"Naucalpan, Méx.",hace 21 días,"Haber estudiado la carrera de Ingeniería en Informática, Ingeniería en Sistemas, Ingeniería en Computación o carreras afín.
Debe ser pasante, trunco o titulado.",,3.9
Front End,Desarrollador Front End,ÜMAN,"Iztacalco, CDMX",hace 15 días,"* Manejo de ANGULAR 6, 8 (INDISPENSABLE)*.
* HTML5, CSS3, SCSS, Javascript, Typescript.
Los interesados que cubran el perfil pueden postularse por este medio y…","$12,000 - $15,000 al mes",4
Front End,Desarrollador Full Stack Jr,FintechThon,"Pachuca, Hgo.•Remoto temporalmente",hace 9 días,"Conocimiento de Bases de Datos y lenguaje de consultas estructurado.
Conocimiento de herramientas de control de versiones como GIT.",,4
Front End,Desarrollador Jr,Constructora Naucalpan,"Naucalpan, Méx.",hace 30+ días,"Diseñar, analizar y mantener aplicaciones en el front-end y back-end web.
Experiencia: 1 a 2 años desarrollando y realizando proyectos sobre PHP, Javascript,…",,3.8
Front End,Desarrollador JR (Sistemas y Soporte Tecnico),GRUAS RUIZ DE SAN JUAN SA DE CV,"Querétaro, Qro.",hace 8 días,"Grúas Ruíz de San Juan S.A. de C.V. es una empresa líder en el ramo, 100% mexicana y con muchos años de historias de éxito operando sus grúas con la tecnología…","$10,000 - $12,500 al mes",4
Front End,Programador Front-End Jr /Angular 8,H&B TALENT ATTRACTION,"Miguel Hidalgo, CDMX",hace 30+ días,"Angular 8 LTS o superior.
1 an?o en herramientas de testing de WebServices (Postman o SOAP-UI).
Conocimiento de plataformas mo?viles.","$20,000 - $25,000 al mes",3.7
Front End,PROGRAMADOR ANDROID JR,Muebles América,"Guadalajara, Jal.",hace 30+ días,"Escolaridad: Ingeniería sistemas , Licenciatura en Informática, o carrera afín.
CONOCIMIENTOS NECESARIOS CON EXPERIENCIA MÍNIMA DE UN AÑO: *.","$17,000 - $17,300 al mes",4
Front End,Front End Developer Jr,Atos,"Monterrey, N. L.",hace 22 días,"Strong understanding on HTML/CSS/Vanilla JavaScript (ES6).
Experience on modern Javascript frameworks/libraries, such as React, Vue.js or Angular.",,3.9
Front End,Front End Specialist,Santander,"Álvaro Obregón, CDMX",hace 28 días,"Identificar riesgos y errores - Participar de manera colaborativa en diseños tecnicos y de arquitectura - Dominio del framework front - Preparar despliegues,…",,3.5
Front End,Front End Specialist,Santander Global External,"Álvaro Obregón, CDMX",hace 27 días,"Identificar riesgos y errores - Participar de manera colaborativa en diseños tecnicos y de arquitectura - Dominio del framework front - Preparar despliegues,…",,3.9
Front End,100% Home Office,Cuvitek Software,Remoto,hace 30+ días,"Mínimo 3 años en el mismo puesto en proyectos basados en tecnología JAVA 8 (versión deseada pero inferiores son aceptables).
Control de versiones (SVN / GIT).","$20,000 - $25,000 al mes",4
Front End,Front End Developer Jr,Cognizant Technology Solutions,"Guadalajara, Jal.",hace 30+ días,"2+ years of experience with JavaScript, HTML, CSS and Angular 6+ (other versions can be considered).
Hands-on knowledge of version control systems such as Git.",,3.5
Front End,Desarollador .Net Jr. (Home Office),WTS Energy,Remoto,hace 30+ días,Importante empresa nacional enfocada a la transformación digital está en búsqueda de un Junior .net Developer principalmente responsable para el soporte y…,,4.1
Front End,Desarrollador Frontend JR presencial en Matamoros,ISITA,"Matamoros, Tamps.",hace 30+ días,"Licenciatura o Ingeniería en Sistemas Computacionales, Informática, o afín.
Inglés Avanzado, con visa y pasaporte vigente.",,3.5
Front End,Senior UI Engineer,Salesloft,"Guadalajara, Jal.",hace 30+ días,"Expertise in front end technologies as well as frameworks and tooling.
A high level of craftsmanship about their work, the end experience of the user, and…",,4
Front End,Desarrollador PHP,Getecsa,Remoto,hace 30+ días,"2+ years with front-end technologies such as JavaScript, HTML, and CSS3.
Design, estimate, and code new features.
Participate in software design discussions.",,3.6
Front End,Sr. UX Developer,UST Global,"Guadalajara, Jal.",hace 30+ días,"As a Sr. UI/UX Developer, this is your opportunity to.
Collaborate with the business areas, design and development teams to generate wireframes and prototypes…",,4.1
Front End,Trainne Full Stack Jr,Eos The Fintech Co,"Venustiano Carranza, CDMX•Remoto temporalmente",hace 6 días,"Implementar y mantener aplicaciones Web Front-end y Back-End So?lidos.
1 a 2 años cómo desarrollador de Software Full Stack en sector Bancario.",,3.9
Front End,Programador .Net,C.onfidencial,"Naucalpan, Méx.•Remoto temporalmente",hace 20 días,"Desarrollo back-end y front-end.
Experiencia: 1 año en desarrollo de aplicaciones bajo plataforma .NET.
Manejo AVANZADO de SQL Server 2008 y superior.","$20,000 - $25,000 al mes",3.8
Front End,Desarrollador Jr.,B.more,"Álvaro Obregón, CDMX•Remoto temporalmente",hace 30+ días,"Programación en front end y/o back end en conjunto con otros desarrolladores.
Somos una organización joven, dinámica, flexible y en constante evolución,…",,4.4
