Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador.NET,DESARROLLADOR .NET,´PITE,"Hermosillo, Son.•Remoto",hace 13 días,"Estamos buscando desarrolladores de software en tecnologías .
PITE somos una empresa de desarrollo de software con certificación de Microsoft en Application…
hace 13 días·más...","$20,000 - $25,000 al mes",3.9
Desarrollador.NET,"DESARROLLADOR JAVA, .NET, TECNOLOGÍA MÓVIL",Grupo Financiero Inbursa,"Pachuca, Hgo.",hace 22 días,"Sistemas Computaciones o afín (pasante o titulado).
Net / Tecnología Móvil (académica o laboral).
Conocimientos en Desarrollo de Microservicios o APIs.
hace 22 días·más...","$15,000 - $20,000 al mes",3.3
Desarrollador.NET,Desarrollador fullstack .net,Manpower Mexico,Ciudad de México•Remoto,hace 25 días,"Conocimientos en .net, Asp, C#, Task, Web Api Core y Emily Framework Core.
En 4WORK RECURSOS HUMANOS Buscamos Desarrollador Fullstack .
hace 25 días·más...","$50,000 - $50,001 al mes",4
Desarrollador.NET,Desarrollador .Net Core con Azure,GTA Telecom de México,Remoto,hace 24 días,"Experiencia porbada como desarrollador .Net.
Escribir código limpio y escalable usando los lenguajes de programación .Net.
Net (ej. C#) y HTML5 / CSS3.
hace 24 días·más...","$50,000 - $60,000 al mes",3.8
Desarrollador.NET,Desarrollador de Software .Net « Senior » “Remoto”,Information Technologies Consultant Home S.A. de...,Ciudad de México,hace 28 días,"SQL Server, incluida la escritura de T-SQL complejo.
Desarrollo web, incluidos JavaScript, CSS y HTML.
Excelente comunicación y habilidades de trabajo en equipo…
hace 28 días·más...",,3.2
Desarrollador.NET,Desarrollador Móvil,INCEPTIO,"León, Gto.",hace 30+ días,"Xamarin, Java, Swift, Objective-C (requisito indispensable).
Servicios WCF, Servicios REST, Servicios Web API.
Análisis y diseño orientado a objetos.
hace 30+ días·más...",,3.6
Desarrollador.NET,CONSULTOR C2 DESARROLLADOR .NET,Gentera,Ciudad de México,hace 7 días,"Ingeniería en Sistemas Computacionales, Especialidad en Desarrollo de Software o a fin.
Desarrollo de API's en Java o Net Core.
hace 7 días·más...",,4.1
Desarrollador.NET,Programador .NET MVC,Atlantia Search,Remoto,hace 30+ días,"Somos un equipo interdisciplinario compuesto de desarrolladores y diseñadores que colaboran para crear productos usables, innovadores y de alta calidad.
hace 30+ días·más...","$25,000 - $30,000 al mes",3.8
Desarrollador.NET,Desarrollador Net,Branchbit,"Tlalpan, CDMX",hace 25 días,"Plan de crecimiento personal y laboral.
Sql server y T-SQL.
Conocimiento orientado a micro servicios.
hace 25 días·más...","$25,000 - $30,000 al mes",4
Desarrollador.NET,Desarrollador .NET,AsTecI,"Tlalpan, CDMX",hace 19 días,"Ingeniería en Sistemas, Computación, Informática o a fin.
hace 19 días·más...","$20,000 - $25,000 al mes",3.8
Desarrollador.NET,Desarrollador .NET,Pypol Soluciones,"Miguel Hidalgo, CDMX•Remoto",hace 30+ días,"NET Bilingüe (Home Office) para trabajar con uno de sus principales clientes.
Analizar, diseñar, construir y probar soluciones empresariales utilizando…
hace 30+ días·más...","$50,000 - $60,000 al mes",3.2
Desarrollador.NET,Desarrollador AP NET,Background Consultores,"Álvaro Obregón, CDMX",hace 3 días,"PL/SQL Capacidad para escribir y ejecutar consultas SQL y comprender las API PL/SQL (manejo de paquetes, triggers, procedimientos, funciones, vistas, SQL Loader…
hace 3 días·más...","$20,000 - $25,000 al mes",4.2
Desarrollador.NET,Desarrollador .Net,Estrategia Tecnologica,"Benito Juárez, CDMX+2 ubicaciones",hace 4 días,"Front (HTML, CSS o JavaScript).
hace 4 días·más...","$20,000 - $25,000 al mes",4.5
