Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Administrador de Base de Datos,Administrador Base de Datos,Softtek,Ciudad de México,hace 30+ días,"? administración de base de datos Mysql,.
? análisis y procesamiento de bases de datos.
? generación de reportes a partir de bases de datos.","$15,000 - $20,000 al mes",4.2
Administrador de Base de Datos,ADMINISTRADOR DE INFORMACION_TEPEACA,CEMEX,"Cuajimalpa, CDMX",hace 30+ días,"Crear y configurar bases de datos relacionales.
Diseñar, desplegar y monitorizar bases de datos.
Manejo de bases de datos relacional.","$45,000 - $50,000 al mes",4
Administrador de Base de Datos,(MX) ADMINISTRADOR DE INFORMACION,CEMEX,"Monterrey, N. L.+3 ubicaciones",hace 30+ días,Queremos conocerte y platicarte lo que tenemos para ti.,"$7,800 al mes",4.3
Administrador de Base de Datos,Administrador de Base de Datos,Intermedia Web S.A de CV,"Miguel Hidalgo, CDMX",hace 16 días,"Experiencia en el monitoreo del desempeño del motor de base de datos, revisión y generación de recomendaciones para mejorar los accesos a bases de datos,.","$60,000 - $70,000 al año",4.3
Administrador de Base de Datos,ADMINISTRADOR DE CONDOMINIO,Esprezza,"Morelia, Mich.",hace 15 días,,"$4,515 al mes",
Administrador de Base de Datos,Administrador de Base de Datos NoSQL (vía Remota / Home Offi...,Optimissa,"Toluca, Méx.",hace 30+ días,"Mantener la accesibilidad a la base de datos.
Verificar que las medidas de almacenamiento y archivo estén corriendo de manera efectiva.","$30,000 - $35,000 al mes",3.5
Administrador de Base de Datos,Administrador de base de datos Sql server,Subastas Ventura,"Cuajimalpa, CDMX",hace 14 días,"Indispensable manejo de MS SQL Server 2008 o posterior : Herramientas de monitoreo y performance de Bases de Datos, Server Integration Services, Server…",,4.1
Administrador de Base de Datos,Administrador de Company Cars – Estación de Servicio,Ford de México,"Álvaro Obregón, CDMX",hace 30 días,,"$40,000 al mes",4.1
Administrador de Base de Datos,Administrador de Base de Datos Senior,Grupo Orsa,"Puebla, Pue.",hace 6 días,"Experiencia en instalación y configuración de bases de datos.
Diagnóstico y configuración de Hardware y software de servidores de datos.","$15,000 - $20,000 al mes",3.8
Administrador de Base de Datos,Analista de Cuentas por Cobrar,PepsiCo,"Cuauhtémoc, CDMX",hace 30+ días,"Monitoreo, análisis y ajuste del rendimiento de la base de datos.
Conocimiento de los diferentes casos de uso y como implementarlos.","$25,000 - $30,000 al mes",4
Administrador de Base de Datos,ADMINISTRADOR DE INVENTARIOS URUAPAN,Farmacias del Ahorro,Ciudad de México,hace 30+ días,"Bases de datos y cruces de información.
SQL : Para el manejo de base de datos relacionales.
Analizar y procesar datos a través de herramientas matemáticas.","$40,000 al mes",3.8
Administrador de Base de Datos,ADMINISTRADOR DE BASE DE DATOS,INGENES,"Monterrey, N. L.",hace 21 días,"Proporcionar experiencia para la infraestructura de TI (por ejemplo, servidores, red), infraestructura de aplicaciones (por ejemplo, SAP) y servicios…","$20,000 - $25,000 al mes",3.8
Administrador de Base de Datos,SysAdmin Administrador de servicios e infraestructura de TI...,MYJOBPRO.COM DE MEXICO,"Cuauhtémoc, CDMX",hace 30+ días,"Resolución raíz de problemas en servidores de bases de datos.
Conocimiento sobre actividades del sistema relacionadas con el middleware en plataformas AIX y…","$35,000 - $40,000 al mes",3.8
Administrador de Base de Datos,Administrador de Redes,Estrategia Tecnologica,Remoto,hace 15 días,"Análisis y diseño de bases de datos.
Programación full stack con frameworks de desarrollo (ej: symfony).
Participación en proyectos con metodología ágil SCRUM,…","$15,000 - $20,000 al mes",3.8
Administrador de Base de Datos,Data Base Administrator,TrueHome,Remoto,hace 15 días,"Análisis y diseño de bases de datos.
Apoyar en la evaluación de las tecnologías más adecuadas a utilizar en los proyectos (webservers, frameworks, base de datos…","$25,000 - $30,000 al mes",4
Administrador de Base de Datos,COMPRADOR JR.,GOYSA,"Tijuana, B.C.",hace 30+ días,,"$8,000 al mes",3.9
Administrador de Base de Datos,Analista de Zseries Conocimiento en Endevor SID 347 H/M,Inetum,Ciudad de México,hace 20 días,"Inglés Avanzado, totalmente fluido (se realiza entrevista en inglés).
Negociación y contacto con usuarios y consultores externos.","$30,000 al mes",4.2
Administrador de Base de Datos,HSES Security /Badging Administrator,Technip Energies,"Puebla, Pue.",hace 30+ días,"Experiencia demostrada en el manejo de grandes conjuntos de datos y bases de datos relacionales.
Proporcionar experiencia técnica en estructuras de…","$40,000 - $50,000 al mes",4.3
Administrador de Base de Datos,administrador middleware,Estrategia Tecnologica,Ciudad de México,hace 30+ días,"? administración de base de datos Mysql,.
? análisis y procesamiento de bases de datos.
? generación de reportes a partir de bases de datos.","$15,000 - $20,000 al mes",4.4
Administrador de Base de Datos,(MX) ASESOR DE DESARROLLO DE NEGOCIOS,CEMEX,"Cuajimalpa, CDMX",hace 30+ días,"Crear y configurar bases de datos relacionales.
Diseñar, desplegar y monitorizar bases de datos.
Manejo de bases de datos relacional.","$45,000 - $50,000 al mes",3.9
Administrador de Base de Datos,PRACTICANTE COMPRAS,GOYSA,"Monterrey, N. L.+3 ubicaciones",hace 30+ días,Queremos conocerte y platicarte lo que tenemos para ti.,"$7,800 al mes",4
Administrador de Base de Datos,Arquitecto de Software / Líder Técnico,M22,"Miguel Hidalgo, CDMX",hace 16 días,"Experiencia en el monitoreo del desempeño del motor de base de datos, revisión y generación de recomendaciones para mejorar los accesos a bases de datos,.","$60,000 - $70,000 al año",
Administrador de Base de Datos,Administrador Splunk,Softtek,Ciudad de México,hace 26 días,"Manejo básico de bases de datos (macros, tablas dinámicas, filtros, procesos automatizados).
PepsiCo es líder global de alimentos y bebidas con un portafolio de…",,3.9
Administrador de Base de Datos,ADMINISTRADOR DBA,Megacable,"Morelia, Mich.",hace 15 días,,"$4,515 al mes",4
Administrador de Base de Datos,Administrativo de ventas,Lat Noroeste,"Benito Juárez, CDMX",hace 30+ días,"Manejo INTERMEDIO de algún administrador de base de datos como:
KODE IT, empresa mexicana líder en el ramo de consultoría TI y desarrollo de software solicita…","$20,000 - $25,000 al mes",
Administrador de Base de Datos,MRO Inventory Data & Pricing Specialist,HERSHEY MX,"Tijuana, B.C.",hace 30+ días,"Amplios conocimientos (diseño y gestión) de base de datos relacionales, especialmente MySQL y/o POSTGRESQL.
Uso de administradores de tareas como Trello, Asana,…","$30,000 - $35,000 al mes",2.5
Administrador de Base de Datos,DBA SQL SERVER,INTECPROOF SA DE CV,Ciudad de México,hace 30+ días,"Conocimiento básico / intermedio en consultas a base de datos.
Salario base 100% nómina de $30,000 BRUTOS + prestaciones de ley + superiores.","$30,000 al mes",4.1
Administrador de Base de Datos,Administrador Base de Datos,Softtek,"Chiapas, Chis.•Remoto",hace 3 días,"Responsable del manejo, mantenimiento, desempeño y de la confiabilidad de bases de datos:
Resguardo y recuperación de datos.
*Horarios*: 9:00 am a 6:00 pm.","$12,000 - $15,000 al mes",3.8
Administrador de Base de Datos,(MX) ADMINISTRADOR DE INFORMACION,CEMEX,"Cuauhtémoc, CDMX+1 ubicación•Remoto",hace 1 día,"Experiencia diseñando bases de datos optimizadas para aplicativos.
3 años de bases de datos relacionales (MySQL María DB O SQLServer).","$49,000 - $50,000 al mes",4
Administrador de Base de Datos,Administrador de Base de Datos,Intermedia Web S.A de CV,"Torreón, Coah.",hace 7 días,"Se solicita administrador de base de datos.
Comparación de base de datos.
Asistencia a usuarios de la base de datos.
Actualización de base de datos de clientes.","$12,000 - $15,000 al mes",
Administrador de Base de Datos,Administrador de Financiamiento (3125),PACCAR,"Morelia, Mich.+7 ubicaciones•Remoto",hace 20 días,"Conocimientos de bases de datos no relacionales.
Experiencia: * Más de 1 año de experiencia en el uso de base de datos SQL/MySQL.
Únete a la familia CONCREDITO.","$16,000 al mes",4.2
Administrador de Base de Datos,ADMINISTRADOR DE CONDOMINIO,Esprezza,"Cuauhtémoc, CDMX•Remoto temporalmente",hace 3 días,"Instalar, configurar y gestionar base de datos.
Monitoreo y análisis de las bases de datos.
Realizar los respaldos de las bases de datos.","$20,000 - $25,000 al mes",4.1
Administrador de Base de Datos,Administrador de base de datos,National Soft,"Colonia Condesa, CDMX",hace 1 día,"Administración de base de datos: 2 años (Obligatorio).
Ingeniero en Sistemas computacionales o afín.
CodeIgniter 4 (u otro framework de PHP que maneje la…","$10,000 - $13,000 al mes",
Administrador de Base de Datos,Administrador de Base de Datos NoSQL (vía Remota / Home Offi...,Optimissa,"Cuauhtémoc, CDMX",Hoy,"Cuauhtémoc, CDMX, San Antonio Abad, Turno completo Lunes a Sábado.
EDAD: 25 A 40 AÑOS.
ESCOLARIDAD: LIC SISTEMAS, ING EN SISTEMAS O AFÍN.","$18,000 al mes",3.8
Administrador de Base de Datos,Administrador de base de datos Sql server,Subastas Ventura,"Miguel Hidalgo, CDMX",Recién publicado,"2 a 3 años en Bases de datos no relacionales (MongodB O Redis).
Estudios en Informática o Ciencias de la Computación o afín.","$45,000 - $60,000 al mes",4.5
Administrador de Base de Datos,Administrador de Company Cars – Estación de Servicio,Ford de México,Ciudad de México,hace 7 días,"Dan el máximo porque les gusta trabajar con compromiso y dedicación.
Viven los cambios como oportunidades y aprenden de sus errores.",,
Administrador de Base de Datos,Administrador de Inventarios,Farmacias del Ahorro,"Naucalpan, Méx.•Remoto temporalmente",hace 20 días,"P3 EMPRESA INTERNACIONAL CON SERVICIOS DE CONSULTORÍA, INGENIERÍA Y DESARROLLO DE SOFTWARE.
Solicita ADMINISTRADOR DE BASE DE DATOS SQL SERVER*.","$38,000 - $41,000 al mes",4.2
Administrador de Base de Datos,Administrador de Base de Datos Senior,Grupo Orsa,"Cuauhtémoc, CDMX",hace 9 días,"ESCOLARIDAD: LIC SISTEMAS, ING EN SISTEMAS O AFÍN.
EXPERIENCIA MÍNIMA DE 1 AÑO (COMPROBABLE MANEJO DE SQL SERVER ) MENEJO DE EQUIPO DE TRABAJO.","$15,000 - $18,000 al mes",2.7
Administrador de Base de Datos,Analista de Cuentas por Cobrar,PepsiCo,"Cuauhtémoc, CDMX",Recién publicado,"Supervisor - DBA (data base admin) SOLICITO LÍDER DE ADMINISTRACIÓN DE BASE DE DATOS SQL SERVER*.
ESCOLARIDAD: LIC SISTEMAS, ING EN SISTEMAS O AFÍN.","$15,000 - $18,000 al mes",
Administrador de Base de Datos,ADMINISTRADOR DE INVENTARIOS URUAPAN,Farmacias del Ahorro,"Tlalpan, CDMX",Hoy,"Mantener la disponibilidad de las Bases de Datos de la empresa, Sistemas comunes, Recursos humanos, contabilidad y sistemas de terceros.","$40,000 al mes",3.2
Administrador de Base de Datos,DBA Sr,CONTPAQi,"Torreón, Coah.",hace 12 días,"Capturar y dar Seguimiento a las solicitudes en SAGA/2 con datos completos.
Experiencia mínima de 1 año.
Verificar que las áreas responsables dentro del proceso…","$10,000 - $12,000 al mes",3.2
Administrador de Base de Datos,Programador JAVA EE Jr,KODE IT,"Interlomas, Méx.",hace 1 día,"Experiencia en la adaptación y el aprendizaje de nuevos lenguajes, herramientas y entornos.
Synapse SQL: 1 año (Deseable).","$20,000 al mes",4.2
Administrador de Base de Datos,PHP/Laravel Lead Developer,Cortier,"Ixtaczoquitlán, Ver.",hace 3 días,"Empresa Mexicana, Con Doce Años , Líder en El Ramo Abarrotero*.
Tu Labor Como Administrador, Llevar En Óptimas Condiciones Los Recursos Y Procesos Existentes De…","$10,000 al mes",
Administrador de Base de Datos,Full Stack Engineer Sterling,ISITA,"Santa Catarina, N. L.",hace 6 días,"Configurar sistema SAI, dando de altas cuentas, catálogos, productos, clientes, formatos, etc, facilitar los procesos de carga de la información.","$15,000 al mes",
Administrador de Base de Datos,DBA SQL SERVER,AZKA IT CONSULTING SA DE CV,"Tlalnepantla, Méx.",hace 1 día,"Manejo avanzado de Excel (Indispensable, se aplica prueba).
Cálculo de Probabilidades de incumplimiento, severidad de pérdidas, exposición al incumplimiento y…","$15,000 al mes",
Administrador de Base de Datos,Implementador de Sistemas TI Bilingüe,Manpower Mexico,"Ángel Albino Corzo, Chis.",hace 16 días,"Actualizar diario la base de datos de los precios del mercado.
Llenado diario de formatería; boletas de acopio, pólizas de cheques o recibos de pago, guías de…","$7,000 - $7,500 al mes",4.3
Administrador de Base de Datos,DBA Administrador de Base de Datos,Ennovasoft,"Cuauhtémoc, CDMX",Recién publicado,"Supervisor - DBA (data base admin) SOLICITO LÍDER DE ADMINISTRACIÓN DE BASE DE DATOS SQL SERVER*.
ESCOLARIDAD: LIC SISTEMAS, ING EN SISTEMAS O AFÍN.","$15,000 - $18,000 al mes",4.3
Administrador de Base de Datos,Digital and Data Solutions Analyst (Tableu and ETL) - Electr...,Page Personnel México,"San Pedro Garza García, N. L.•Remoto temporalmente",hace 12 días,"*Arquitectura de base de datos desde cero*.
Procedimientos almacenados los tipos de datos json.
Deseable experiencia en el *sector financiero*.","$28,000 - $30,000 al mes",
Administrador de Base de Datos,Programador JAVA EE Sr,KODE IT,"Coyoacán, CDMX",Hoy,"Actualización de bases de datos en excel.
Revisar que datos y montos de servicio coincidan para pagos y/o facturación.","$6,000 - $7,000 al mes",3.2
