Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Ciberseguridad,Ingeniero Jr. de Ciberseguridad,Velatia Careers,Ciudad de México•Remoto,hace 30+ días,"Gestionar el cumplimiento de políticas y procedimientos de seguridad de la información y ciberseguridad.
Generación de reportes sobre el status del servicio.","$18,000 al mes",3.5
Ciberseguridad,Líder técnico infraestructura,Velatia Careers,Ciudad de México,hace 1 día,"Ikusi, empresa de Velatia, es una empresa tecnológica, especializada en el ámbito de la digitalización y ciberseguridad.","$32,500 al mes",5
Ciberseguridad,Ingeniero en implantación virtual,Velatia Careers,Ciudad de México•Remoto,hace 1 día,"Ikusi, empresa de Velatia, es una empresa tecnológica, especializada en el ámbito de la digitalización y ciberseguridad.","$35,000 al mes",3.8
Ciberseguridad,Ingeniero de Ciberseguridad,DyNet,"Cuauhtémoc, CDMX",hace 18 días,"Diseñar soluciones que cumplan y excedan las expectativas de nuestros clientes, aterrizando sus necesidades de manera realista, documentándolas y presentándolas…","$15,000 - $20,000 al mes",4.5
Ciberseguridad,Ciberseguridad,INGENES,"Cuajimalpa, CDMX",hace 30+ días,Garantizar la seguridad de la información del Instituto a través de la implementación de controles de seguridad necesarios para cumplimiento de conformidad con…,"$25,000 - $30,000 al mes",3.8
Ciberseguridad,INGENIERO DE IMPLEMENTACIÓN DATA CENTER,Velatia Careers,"Monterrey, N. L.",hace 11 días,"Ikusi, empresa de Velatia, es una empresa tecnológica, especializada en el ámbito de la digitalización y ciberseguridad.
O Elaborar plan de implementación.","$45,000 al mes",4.2
Ciberseguridad,Triage,DyNet,"Guadalajara, Jal.",hace 18 días,"En informática, o carrera afín.
Prestaciones de ley (seguro social, vacaciones, prima vacacional y aguinaldo).","$10,000 - $15,000 al mes",2.4
Ciberseguridad,LEAD RESEARCHER,Manpower Mexico,Ciudad de México,hace 5 días,,"$60,000 - $70,000 al mes",5
Ciberseguridad,Ingeniero de Preventa de Soluciones Seguridad (MX),Modern Talent Hub ES,Ciudad de México,hace 18 días,"Participar en eventos y webinars como ponentes.
Diseñar cotizaciones y redactar la documentación y las guías asociadas a los proyectos.","$20,000 - $30,000 al mes",3.7
Ciberseguridad,Soporte técnico bilingue,Grupo Orsa,"Miguel Hidalgo, CDMX",hace 25 días,"El Coordinador de TI es responsable de la resolución de problemas y el soporte diario relacionados con PC, LAN, WAN y teléfono así como el mantenimiento de los…","$20,000 - $25,000 al mes",3
Ciberseguridad,DESARROLLADOR JR (GESTOR DE LA APLICACIONES EN LA NUBE),Velatia Careers,Ciudad de México,hace 26 días,"Ikusi, empresa de Velatia, es una empresa tecnológica, especializada en el ámbito de la digitalización y ciberseguridad.","$23,213 al mes",3.6
Ciberseguridad,Consultor e Ingeniero en Redes,DXC Technology,Remoto,hace 26 días,"Conceptos de ciberseguridad que incluyen firewalls, IPS, servidores proxy y arquitecturas generales orientadas a la seguridad.","$50,000 - $60,000 al mes",4.7
Ciberseguridad,DIRECCIÓN DE TECNOLOGÍA,Dirección Humana y Asociados,"Miguel Hidalgo, CDMX",hace 14 días,"Experiencia en el giro de tecnología y ciberseguridad.
Desarrollo del área de soporte técnico.","$80,000 al mes",4.3
Ciberseguridad,DIRECCIÓN COMERCIAL (GIRO TECNOLOGÍA),Dirección Humana y Asociados,"Miguel Hidalgo, CDMX",hace 14 días,"Experiencia en el giro de tecnología y ciberseguridad.
Desarrollo y estructura del área de mercadotecnia.","$80,000 al mes",3.9
Ciberseguridad,Ingeniero Jr. de Ciberseguridad,Velatia Careers,Ciudad de México•Remoto,hace 30+ días,"Gestionar el cumplimiento de políticas y procedimientos de seguridad de la información y ciberseguridad.
Generación de reportes sobre el status del servicio.","$18,000 al mes",4
Ciberseguridad,Líder técnico infraestructura,Velatia Careers,Ciudad de México,hace 1 día,"Ikusi, empresa de Velatia, es una empresa tecnológica, especializada en el ámbito de la digitalización y ciberseguridad.","$32,500 al mes",4.2
Ciberseguridad,Ingeniero en implantación virtual,Velatia Careers,Ciudad de México•Remoto,hace 1 día,"Ikusi, empresa de Velatia, es una empresa tecnológica, especializada en el ámbito de la digitalización y ciberseguridad.","$35,000 al mes",4
Ciberseguridad,Ingeniero de Ciberseguridad,DyNet,"Cuauhtémoc, CDMX",hace 18 días,"Diseñar soluciones que cumplan y excedan las expectativas de nuestros clientes, aterrizando sus necesidades de manera realista, documentándolas y presentándolas…","$15,000 - $20,000 al mes",
Ciberseguridad,Ciberseguridad,INGENES,"Cuajimalpa, CDMX",hace 30+ días,Garantizar la seguridad de la información del Instituto a través de la implementación de controles de seguridad necesarios para cumplimiento de conformidad con…,"$25,000 - $30,000 al mes",
Ciberseguridad,Becario de Ciberseguridad,NOVA,"Benito Juárez, CDMX•Remoto temporalmente",hace 30+ días,"Disponibilidad para trabajar medio tiempo o tiempo completo.
Conocimiento en mantenimiento preventivo y correctivo de equipos de computo.","$7,500 al mes",4
Ciberseguridad,Ejecutivo Comercial de Ciberseguridad,Recurso óptimo,"Coyoacán, CDMX•Remoto",hace 30+ días,"No te desanimes y sigue intentando...
Seguro encuentras la oportunidad que buscas.","$8,000 - $12,000 al mes",4
Ciberseguridad,Gerente de ciberseguridad,Ennovasoft,"Álvaro Obregón, CDMX•Remoto",hace 6 días,"*Horarios*: 9:00 am a 7:00 pm.
*Escolaridad*: Ingeniería Informática, Sistemas, Cómputo o carrera afín.
Configuración Conexiones VPNs site to site, VPN móviles.","$25,000 - $30,000 al mes",4
Ciberseguridad,Becarios ciberseguridad / CERT,Consultoria cibreseguridad SAPI,"Colonia Polanco, CDMX•Remoto temporalmente",hace 30+ días,"Estudiante de 8vo semestre en adelante en carrera de Informática, sistemas, o afín.
Promedio mínimo de 8 (comprobable).","$6,000 al mes",4.2
Ciberseguridad,AUXILIAR DE SOPORTE TÉCNICO,IBERO TORREON,"Torreón, Coah.",hace 4 días,"Brindar asistencia técnica en materia de hardware, software o en conectividad de acceso a la red de intranet, de manera remota o en sitio; y en su caso,…","$14,000 - $17,000 al mes",
Ciberseguridad,Ingeniero de Soporte en Ciberseguridad,NOVA,"Pachuca, Hgo.•Remoto temporalmente",hace 6 días,"Egresados de Licenciatura/Ingeniería en Tecnologías de la Información, Ingeniería en Sistemas Computacionales, Licenciatura en Informática o afín.","$10,000 al mes",3.9
Ciberseguridad,Key Account Manager,Cybolt,"Naucalpan, Méx.+1 ubicación",hace 8 días,"Liderar todo el proceso de venta, desde la presentación de la oferta Cybolt, hasta la elaboración de propuesta económica.
Vacaciones superiores a la ley.","$40,000 - $49,000 al mes",3.8
Ciberseguridad,BECARIO - SOPORTE REDES Y CIBERSEGURIDAD,Assetel S.A. de C.V.,"Zapopan, Jal.",hace 30+ días,"Conocimiento en instalación y administración de redes, ciberseguridad, firewalls, switches, permisos de acceso, soporte técnico.","$4,500 - $5,000 al mes",3.9
Ciberseguridad,Channel Manager Ciberseguridad,Training Talent,"Monterrey, N. L.",hace 22 días,"PL + Seguro de Vida + Gastos Médicos Mayores + programa de certificación en LATAM y Europa.
Como ejecutivo de ventas senior TI, Channel Manager, Territory…","$45,000 al mes",
Ciberseguridad,Becario de desarrollo,RealNet S.A de C.V.,"Cuauhtémoc, CDMX",hace 25 días,"Empresa dedicada a brindar servicios y soluciones en Tecnologías de la Información y Ciberseguridad,.
/ Ing. de Sistemas Computacionales, Informática o a fin,…","$2,500 - $3,000 al mes",
Ciberseguridad,Ingeniero SOC Junior Ciberseguridad Accesos,Training Talent,"Álvaro Obregón, CDMX",hace 10 días,"Consultor ciberseguridad, ingeniero SOC, solution Specialist Security, Consultor seguridad informática, ciber seguridad preventa, consultor SOC, ingeniero SOC…","$16,000 al mes",
Ciberseguridad,Soporte Técnico,Kiimak MAY,"Azcapotzalco, CDMX•Remoto temporalmente",hace 11 días,"*Escolaridad: *Ingeniería, Tecnología o afín.
Asistencia y solución de incidencias informáticas y productos similares.","$10,000 - $12,000 al mes",3.9
Ciberseguridad,CIBERSEGURIDAD SIEM-SPLUNK** Ingreso Inmediato!!!!,PRAXIS IT,"Colonia Polanco, CDMX•Remoto",hace 29 días,"Consultor de Ciberseguridad/SIEM/ CSIRT /SPLUNK -Inglés avanzado*.
Monitor for external threats, assessing risk to the firm’s environment and support risk…","$40,000 - $42,000 al mes",3.4
Ciberseguridad,Becario documentador TI,Consultoria cibreseguridad SAPI,"Colonia Polanco, CDMX",hace 30+ días,Documentar y diagramar diversos procesos relacionados con la gestión y actividades de un SOC CERT (ciberseguridad) - Actividad presencial zona Reforma.,"$6,000 al mes",
Ciberseguridad,Becario en Ciberseguridad y Redes,C.onfidencial,"Benito Juárez, CDMX•Remoto temporalmente",hace 30+ días,"Documentar las configuraciones y/o cambios en los equipos de red.
Implementar los proyectos de las marcas para brindar un servicio de calidad.","$5,000 - $6,000 al mes",
Ciberseguridad,Becario de Marketing,RealNet S.A de C.V.,"Cuauhtémoc, CDMX•Remoto temporalmente",hace 25 días,"Mercadotecnia, Comunicación, Diseño, Publicidad, o a fin, no necesariamente terminada.
Persona responsable, creativa, comprometida, autodidacta, proactiva y…","$2,500 - $3,000 al mes",4.2
Ciberseguridad,Becario/ Soporte a Redes,Axity,"Miguel Hidalgo, CDMX",hace 15 días,"La familia Axity te da esta oportunidad a través de su Plan de Becarios 2021, en donde se te instruirá en redes LAN, WLAN, WAN y Cloud, así como tecnologías de…","$3,000 al mes",2.4
Ciberseguridad,Product Manager Ciberseguridad,Reclutamiento IT,"Naucalpan, Méx.",hace 30+ días,"Fortinet, buscamos gerente de producto con experiencia en soluciones de ciberseguridad para administración y reclutamiento de canales, distribuidores.","$18,000 al mes",3.9
Ciberseguridad,Soporte Help Desk TI,Cimatic de México S.A. de C.V.,"Cuauhtémoc, CDMX",hace 8 días,"O Conocimientos de redes como protocolos, estaciones de trabajo, servidores, LANs, tarjetas de red, switches, firewalls y conectividad WAN.","$11,250 - $13,669 al mes",4
Ciberseguridad,Ingeniero de Monitoreo SOC N1,Mnemo Evolution,"Colonia Polanco, CDMX•Remoto temporalmente",hace 6 días,"Formarás parte de un gran equipo profesional y personal.
Lic o ing en sistemas, informática o afín.
1 años de experiencia en un SOC atendiendo incidencias y…","$15,000 - $20,000 al mes",
Ciberseguridad,Ingeniero en Redes y Ciberseguridad con CCNA,Green Concept,"Benito Juárez, CDMX",hace 8 días,"Otros: Inglés Avanzado, Certificación Cisco CCNA vigente (CCNP/ CCDA/ CSSIP o similares), conocimientos & troubleshooting de firewalls, sistemas IDS/IPS/IDP,…","$25,000 al mes",3.5
Ciberseguridad,Becario de soporte técnico,RealNet S.A de C.V.,"Cuauhtémoc, CDMX",hace 30+ días,"Empresa dedicada a brindar servicios y soluciones en Ciberseguridad.
Formación Académica: Ing. en Sistemas Computacionales, Redes y Telecomunicaciones,…","$2,500 - $3,000 al mes",5
Ciberseguridad,Ventas TI Ciberseguridad,Reclutamiento IT,"Cuauhtémoc, CDMX",hace 30+ días,"Somos un grupo de empresas dedicas a soluciones de software corporativo y seguridad, presencia a nivel nacional, socios premier de Microsoft, Arbor, CheckPoint;…","$20,000 al mes",3.8
Ciberseguridad,Coordinador Proyectos (TI),EmployeeHR,"Saltillo, Coah.",hace 7 días,"Carrera en áreas sistemas, Ingeniería en Telecomunicaciones, IIS.","$25,000 al mes",
Ciberseguridad,ANALISTA SOC N1,"TELEFONICA CYBERSECURITY TECH MEXICO, SA DE CV","Miguel Hidalgo, CDMX•Remoto temporalmente",hace 13 días,"Gestión, Troubleshooting y monitoreo de Firewalls y UTM´s (Checkpoint, Cisco, Fortinet, Palo Alto,NGFP).
Gestión, Troubleshooting y monitoreo de MDM MOBILELRON,…","$25,000 al mes",3.5
Ciberseguridad,Seguridad Aplicativa Pentesting,Training Talent,"Benito Juárez, CDMX",hace 1 día,"Experiencia en manejo de personal, manejo de equipos de trabajo y estrategias de administración de equipos de pruebas y seguridad, Software Compliance, Cyber…","$45,000 al mes",3.7
Ciberseguridad,Ingeniero en Sistemas,b-local Talent,"Cancún, QRoo.",hace 30+ días,"Ingeniero en Telecomunicaciones, Sistemas o Informática.
Amplio dominio en soporte de grandes grupos de usuarios de Windows, Office 365, Azure.","$30,000 al mes",3.5
