Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Cientifico de Datos,Cientifico de Datos,Hatchers,Remoto,hace 30+ días,"El puesto involucra desarrollar y diseñar modelos matemáticos.
Estudios relacionados a matemáticas y/o física.
Vacaciones bajo demanda sin restricciones.","$30,000 - $35,000 al mes",3.9
Cientifico de Datos,COORDINADOR CIENTIFICO DE DATOS,Tienda NEto,"Cuajimalpa, CDMX",hace 26 días,"Manejo de datos(SQL), Desarrollo Modelos(Python, R, Datarobot).
Estudios en Ciencia de Datos, Ingeniería en Sistemas, Matemáticas, Estadística, Ciencias de la…","$35,000 - $40,000 al mes",4.2
Cientifico de Datos,CIENTIFICO DE DATOS,Estrategia Tecnologica,"Cuauhtémoc, CDMX",hace 30+ días,"Avanzado en programación de SQL, R, Python, Julia, Scala, SPSS Statistics o SPSS Modeler: para soportar la realización de proyectos analíticos.","$40,000 - $45,000 al mes",3.6
Cientifico de Datos,Ingeniero de datos,Disruptive Studio,Remoto,hace 30+ días,"Preparar datos para modelos predictivos y prescriptivos.
Usa datos para descubrir tareas que pueden automatizarse.","$35,000 - $40,000 al mes",
Cientifico de Datos,Científico de Datos,INFOFAM,"Azcapotzalco, CDMX",hace 30+ días,"Modelar e implementar soluciones para problemas, identificar oportunidades de mejora, mediante uso de diferentes técnicas estadísticas, algorítmicas, de minería…","$45,000 - $50,000 al mes",4.2
Cientifico de Datos,Científico de datos,Page Personnel México,Ciudad de México,hace 30+ días,"Analizar y procesar datos a través de herramientas matemáticas.
Bases de datos y cruces de información.
SQL : Para el manejo de base de datos relacionales.","$40,000 - $45,000 al mes",4.1
Cientifico de Datos,Administrador de base de datos Sql server,Subastas Ventura,"Cuajimalpa, CDMX",hace 30+ días,"Crear y configurar bases de datos relacionales.
Responsable de los aspectos técnicos, tecnológicos, científicos, inteligencia de negocios y legales de bases de…","$45,000 - $50,000 al mes",4
Cientifico de Datos,Ingeniero de datos,Estrategia Tecnologica,"Benito Juárez, CDMX",hace 30+ días,2 años como Ingeniero de Datos enfocado a la industria de Retail y/o Financiero con proyectos que hubieran presentado escenarios de monetización en el hoy para…,"$35,000 - $40,000 al mes",2.5
Cientifico de Datos,Coordinador Desarrollo Digital,Grupo Herdez,"Miguel Hidalgo, CDMX",hace 8 días,Desarrollo Back End : Escribe el código que permite al usuario ingresar datos y guardarlo en las bases de datos para manipular los datos recopilados de los…,"$25,000 - $30,000 al mes",
Cientifico de Datos,Inteligencia Artificial para Simulaciones Virtuales,Universidad del Valle de México,"Tlaquepaque, Jal.+2 ubicaciones",hace 30+ días,Desarrolla en los futuros profesionistas el conocimiento sobre las nuevas tecnologías integrando diferentes áreas de la ingeniería.,"$25,000 - $30,000 al mes",4.1
