Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador web,Desarrollador web,CTECH-S,"Tampico, Tamps.",hace 1 día,"¡ÚNETE A NUESTRO EQUIPO! Somos una empresa líder en tecnologías de la información con presencia en México, Estados Unidos y Canadá, estamos en búsqueda de…","$15,000 - $20,000 al mes",3.8
Desarrollador web,DESARROLLADOR FULLSTACK,e-Bitware,Remoto,hace 9 días,Descripción de empleo e-Bitware consultora especializada en soluciones tecnológicas te invita a formar parte de su equipo de trabajo como: DESARROLLADOR…,"$3,000 - $5,000 al mes",4.2
Desarrollador web,Desarrollador React JS,GTA Telecom de México,Remoto,hace 19 días,"Revisar los requerimientos de aplicación y diseños de interfaz.
Escribir código de interfaz de aplicación usando JavaScript siguiendo los flujos de trabajo de…","$50,000 - $60,000 al mes",4
Desarrollador web,DESARROLLADOR FRONTEND,e-Bitware,Desde casa,hace 30+ días,Desarrollador FrontEnd con experiencia +2 años en Angular (obligatorio).,"$20,000 - $25,000 al mes",3.7
Desarrollador web,DESARROLLADOR .NET,´PITE,"Hermosillo, Son.•Remoto",hace 8 días,PITE somos una empresa de desarrollo de software con certificación de Microsoft en Application Development (Silver) con más de 10 años de experiencia en el…,"$20,000 - $25,000 al mes",4.5
Desarrollador web,DESARROLLADOR DE SOFTWARE,AUTOCOM,Remoto,hace 30+ días,"Experiencia mínima de 3 años en desarrollo de proyectos Web, Cloud y/o Móviles, gestión de base de datos.
Experiencia en codificación y ejecución de pruebas…","$25,000 - $30,000 al mes",3.3
Desarrollador web,Desarrollador Fullstack,Pypol Soluciones,+2 ubicacionesRemoto,hace 30+ días,"Disfrutes y tengas experiencia desarrollando aplicaciones web en Python.
Puedas modificar elementos de una interfaz web usando HTML y Javascript.","$30,000 - $35,000 al mes",4.3
Desarrollador web,Desarrollador WEB/Móvil,Yaxché Dev,"Miguel Hidalgo, CDMX",hace 1 día,"Bases de Datos: SQL Server | MySQL.
Sistemas Operativos OS mac | Linux | Windows.
Metodologías: SCRUM | Agile | PMMI.","$35,000 - $40,000 al mes",3.6
Desarrollador web,DESARROLLADOR IOS,Working Mexico Headhunter,Remoto,hace 20 días,"Swift, c- based, unit testing, API RESTful, servicios back-end, tecnologías web y estándares UI / UX, Git, principios de diseño y las pautas de interfaz de…","$90,000 - $100,000 al año",
Desarrollador web,Desarrollador WEB Angular,AsTecI,"Álvaro Obregón, CDMX",hace 23 días,"Desarrollador Web, Programador front end JavaScript, desarrollador front end React, analista web front end Angular, front end Developer, front end Developer,…","$30,000 - $35,000 al mes",3.2
Desarrollador web,Desarrollador Front Bilingüe,VASS,"Querétaro, Qro.•Remoto temporalmente",hace 30+ días,Requisitos NECESARIO: Web Components Typescript HTML/CSS Nivel alto de inglés. DESEABLE: React Canvas App de Salesforce. UX/UI Se Ofrece…,"$45,000 - $50,000 al mes",3.3
Desarrollador web,DESARROLLADOR BACKEND,TURN MY APP SA DE CV,"Zapopan, Jal.",hace 22 días,"3+ años de experiencia profesional como BackEnd.
Conocimientos en Arquitecturas de Microservicios (deseable) con Web API en PHP o .NET.","$20,000 - $25,000 al mes",
Desarrollador web,100% Home Office,Cuvitek Software,Remoto,hace 30+ días,"Mínimo 3 años en el mismo puesto en proyectos basados en tecnología JAVA 8 (versión deseada pero inferiores son aceptables).
Control de versiones (SVN / GIT).","$20,000 - $25,000 al mes",1.8
