Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
GerenteTI,Gerente de Automatización en Marketing,Getecsa,Remoto,hace 19 días,"Definir y configurar la cadencia de workflows de onboarding, nutrición de leads, reactivación de contactos y cross-sell en distintos canales de mkt con…","$25,000 - $30,000 al mes",4
GerenteTI,Gerente de telecomunicaciones,Page Personnel México,Ciudad de México,hace 30+ días,Ingeniero electrónico con orientación en telecomunicaciones.,"$40,000 - $50,000 al mes",3.9
GerenteTI,Finance Controller,Edenred,Ciudad de México,hace 30+ días,"Analizar la información financiera de la empresa, en base a lo alimentado en el sistema de información, que permita reportar a los usuarios internos y externos…","$45,000 al mes",4.1
GerenteTI,Gerente Senior de Sistemas,humansearch,Ciudad de México,hace 30+ días,"Sólida experiencia en el área de tecnología en servicios, banca, , retail, o seguros.
Experiencia comprobada desarrollando soluciones para áreas comerciales y…","$65,000 - $70,000 al año",4.2
GerenteTI,"Gerente en Tecnología, Soporte de Analíticos y Herramientas",Manpower Mexico,Ciudad de México,hace 3 días,Prestaciones superiores y de ley.,"$25,000 al mes",4.3
GerenteTI,Gerente de División de Operaciones TI,Coppel,"Miguel Hidalgo, CDMX",hace 30+ días,Definir y garantizar que la estrategia de la división de Operaciones de Tecnología de Información esté alineada con el plan de crecimiento y estrategia del…,"$250,000 - $300,000 al año",4.2
GerenteTI,Ingeniero de Soporte de Escritorio de TI,AVANTIKA,"Miguel Hidalgo, CDMX",hace 19 días,"Comprensión de la solución básica de problemas de red y tecnologías de red.
Licenciatura en Tecnología de la Información, Ciencias de la Computación, Sistemas…","$10,000 - $15,000 al mes",4.2
GerenteTI,Jefe de sistemas (sap),"Bonsocie, S.C.","Boca del Río, Ver.",hace 30+ días,"Módulos: fi, mm, sd, pp, co, basis.
Brindar soporte técnico a los usuarios.","$30,000 al mes",4.2
GerenteTI,Gerente de Modelos Analíticos,Page Personnel México,Ciudad de México,hace 30+ días,"Conocimiento indispensable y experiencia comprobada en el ecosistema Python, o bien en R.
Conocimiento en métodos de Machine Learning, particularmente en…","$35,000 - $40,000 al mes",4.1
GerenteTI,Gerente de desarrollo de código seguro y vulnerabilidades,Page Personnel México,Ciudad de México,hace 13 días,"Elaborar Políticas, procedimientos y metodologías de desarrollo seguro y vulnerabilidades.
Gestionar la ejecución de pruebas de código dinámico y pruebas de…","$60,000 - $63,000 al año",3.6
