Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Tester,STRONG JUNIOR QA TESTER,Svitla Systems,Remoto,hace 30+ días,"Svitla Systems Inc. is looking for a Strong Junior QA Tester for a full-time position (40 hours per week) in Mexico.
2+ years of experience as a Manual Tester.","$20,000 - $25,000 al mes",4
Tester,Manufacturing & Quality Tester,ABB,"San Luis Potosí, S. L. P.",hace 5 días,"You will lead testing and checking activities during the manufacturing process.
Reporting to the Quality Control Manager, you will perform tests and checks by…","$30,000 - $35,000 al mes",4.2
Tester,Software Developer & Tester Engineer,TELUS International,+1 ubicaciónRemoto,hace 1 día,"They do this with code, of course, building secure software from the start.
This team member supports the build, test, deployment and operation of applications.","$15,000 - $20,000 al mes",3.9
Tester,Tester,VASS,"Querétaro, Qro.",hace 30+ días,,"$45,000 - $50,000 al mes",3.8
Tester,Functional Tester,GTA Telecom de México,Remoto,hace 30+ días,"We offer competitive salaries in US dollars, visa sponsoring, excellent work environment and professional growth.
Ability to document and troubleshoot errors.","$10,000 - $15,000 al mes",3.9
Tester,Manual Tester,NearShore Technology,Remoto,hace 30+ días,"2+ yrs of experience as Functional Tester.
Ability to create and execute complex test plans.
Good experience using bug tracking tools.","$15,000 - $20,000 al mes",3.9
Tester,Tester QA,Disruptive Studio,Remoto,hace 30+ días,"Las responsabilidades incluyen el diseño y la ejecución de pruebas, la depuración y la definición de acciones correctivas.
§ Pruebas de integración de la API.","$15,000 - $20,000 al mes",4
Tester,Automation Tester,IBM,"Guadalajara, Jal.+1 ubicación",hace 5 días,"As a Test Specialist at IBM, your analytical and technical skills will directly impact the quality of the software we create.","$10,000 - $15,000 al mes",4.4
Tester,API Tester,Accenture,"Monterrey, N. L.",hace 21 días,"Use of work schemes and cutting-edge technologies.
Provide expertise in the planning, constructing and execution of test scripts.","$8,000 - $20,000 al mes",3.9
Tester,Junior QA Tester On Mobile,AMBER STUDIO,"Guadalajara, Jal.",hace 30+ días,"The professional environment to work on various platforms, from Android to iOS and Windows or Facebook.
Well-shaped training program to start your career in…","$20,000 - $25,000 al mes",3.7
